last_name, first_name,player_id,oaa,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_fieldout_2stars,n_opp_2stars,n_2star_percent,n_fieldout_1stars,n_opp_1stars,n_1star_percent
Cain, Lorenzo,456715,22,6,22,27.3,10,12,83.3,23,25,92.0,22,24,91.7,21,21,100.0
Inciarte, Ender,542255,21,2,24,8.3,12,14,85.7,22,25,88.0,29,29,100.0,22,22,100.0
Bader, Harrison,664056,19,6,19,31.6,9,12,75.0,21,23,91.3,24,24,100.0,19,19,100.0
Hamilton, Billy,571740,16,6,32,18.8,9,12,75.0,18,25,72.0,29,32,90.6,35,35,100.0
Engel, Adam,641553,16,0,23,0.0,8,16,50.0,22,23,95.7,31,31,100.0,18,18,100.0
Margot, Manuel,622534,13,2,20,10.0,6,8,75.0,24,28,85.7,19,21,90.5,15,15,100.0
Bradley Jr., Jackie,598265,12,2,26,7.7,11,17,64.7,13,18,72.2,27,28,96.4,23,24,95.8
DeShields, Delino,592261,12,4,25,16.0,10,16,62.5,17,21,81.0,29,31,93.5,13,15,86.7
Almora Jr., Albert,546991,11,0,12,0.0,7,11,63.6,21,22,95.5,21,23,91.3,18,18,100.0
Betts, Mookie,605141,11,3,23,13.0,5,11,45.5,19,21,90.5,22,23,95.7,22,23,95.7
Dickerson, Corey,572816,10,1,17,5.9,4,8,50.0,19,19,100.0,18,18,100.0,15,16,93.8
Marte, Starling,516782,10,4,25,16.0,2,8,25.0,20,20,100.0,31,34,91.2,22,22,100.0
Taylor, Michael A.,572191,9,2,20,10.0,6,9,66.7,12,15,80.0,22,24,91.7,16,16,100.0
Kepler, Max,596146,9,3,22,13.6,5,12,41.7,17,21,81.0,26,26,100.0,22,23,95.7
Jankowski, Travis,608671,7,0,5,0.0,10,14,71.4,7,9,77.8,8,9,88.9,11,11,100.0
Reddick, Josh,502210,7,2,21,9.5,7,12,58.3,12,12,100.0,14,15,93.3,13,15,86.7
Jones, JaCoby,592444,7,0,11,0.0,5,10,50.0,19,26,73.1,23,24,95.8,27,29,93.1
Kiermaier, Kevin,595281,7,3,13,23.1,2,6,33.3,11,12,91.7,11,11,100.0,17,17,100.0
