last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Abreu, Jose,547989,CWS,145,1B,31,R,0,0.55,0.86,1.14,1.39,1.62,1.85,2.05,2.26,2.45,2.64,2.83,3.02,3.2,3.39,3.57,3.75,3.94,4.13
Acuna Jr., Ronald,660670,ATL,144,LF,21,R,0,0.52,0.8,1.04,1.27,1.48,1.68,1.87,2.05,2.23,2.41,2.58,2.74,2.91,3.08,3.24,3.4,3.57,3.74
Adames, Willy,642715,TB,139,SS,23,R,0,0.54,0.83,1.09,1.33,1.55,1.76,1.96,2.15,2.34,2.52,2.7,2.88,3.05,3.22,3.39,3.56,3.74,3.91
Adams, Matt,571431,STL,138,1B,30,L,0,0.53,0.83,1.1,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.17,3.36,3.54,3.73,3.92,4.11
Adduci, Jim,451192,DET,116,1B,33,L,0,0.53,0.81,1.07,1.3,1.52,1.73,1.93,2.12,2.3,2.48,2.66,2.83,3.01,3.17,3.34,3.51,3.68,3.86
Adrianza, Ehire,501303,MIN,142,SS,29,L,0,0.52,0.81,1.07,1.31,1.54,1.75,1.96,2.15,2.35,2.53,2.72,2.9,3.08,3.26,3.44,3.62,3.81,4
Aguilar, Jesus,542583,MIL,158,1B,28,R,0,0.59,0.93,1.23,1.49,1.74,1.98,2.2,2.42,2.62,2.83,3.03,3.23,3.43,3.62,3.82,4.02,4.22,4.43
Ahmed, Nick,605113,ARI,109,SS,28,R,0,0.54,0.84,1.11,1.35,1.58,1.8,2,2.2,2.39,2.57,2.75,2.93,3.11,3.29,3.46,3.63,3.81,3.98
Albies, Ozzie,645277,ATL,144,2B,21,L,0,0.51,0.79,1.03,1.25,1.47,1.67,1.86,2.05,2.23,2.4,2.58,2.75,2.92,3.09,3.26,3.43,3.61,3.79
Albies, Ozzie,645277,ATL,144,2B,21,R,0,0.55,0.83,1.08,1.31,1.52,1.73,1.92,2.11,2.29,2.47,2.64,2.81,2.99,3.15,3.32,3.49,3.66,3.84
Alfaro, Jorge,595751,PHI,143,C,25,R,0,0.56,0.86,1.12,1.37,1.6,1.81,2.02,2.22,2.41,2.59,2.78,2.96,3.13,3.31,3.48,3.66,3.83,4.01
Allen, Greg,656185,CLE,114,CF,25,L,0,0.52,0.8,1.05,1.28,1.5,1.7,1.89,2.08,2.26,2.43,2.61,2.78,2.94,3.11,3.28,3.44,3.62,3.8
Almora Jr., Albert,546991,CHC,112,CF,24,R,0,0.55,0.85,1.11,1.36,1.59,1.81,2.01,2.21,2.4,2.59,2.77,2.95,3.13,3.31,3.48,3.66,3.83,4.02
Alonso, Yonder,475174,CLE,114,1B,31,L,0,0.55,0.87,1.17,1.44,1.69,1.93,2.16,2.38,2.59,2.8,3.01,3.22,3.43,3.64,3.85,4.07,4.3,4.55
Altherr, Aaron,571437,PHI,143,RF,27,R,0,0.51,0.8,1.05,1.29,1.51,1.72,1.92,2.11,2.3,2.48,2.66,2.83,3,3.18,3.34,3.51,3.68,3.85
Altuve, Jose,514888,HOU,117,2B,28,R,0,0.53,0.8,1.05,1.28,1.49,1.7,1.89,2.07,2.25,2.43,2.6,2.77,2.93,3.1,3.27,3.43,3.6,3.77
Anderson, Brian,605119,MIA,146,RF,25,R,0,0.55,0.84,1.11,1.36,1.59,1.8,2.01,2.21,2.41,2.6,2.78,2.97,3.15,3.33,3.51,3.69,3.88,4.07
Anderson, Tim,641313,CWS,145,SS,25,R,0,0.53,0.82,1.06,1.3,1.51,1.72,1.91,2.1,2.28,2.46,2.63,2.8,2.97,3.14,3.31,3.48,3.65,3.82
Andrus, Elvis,462101,TEX,140,SS,30,R,0,0.55,0.85,1.11,1.36,1.59,1.8,2.01,2.21,2.4,2.58,2.77,2.95,3.13,3.31,3.48,3.66,3.84,4.03
Andujar, Miguel,609280,NYY,147,3B,23,R,0,0.54,0.83,1.09,1.33,1.55,1.76,1.96,2.15,2.34,2.52,2.7,2.88,3.06,3.23,3.4,3.58,3.76,3.94
Arcia, Francisco,516472,LAA,108,C,29,L,0,0.52,0.83,1.11,1.37,1.62,1.85,2.07,2.29,2.5,2.7,2.9,3.1,3.3,3.5,3.71,3.91,4.12,4.35
Arcia, Orlando,606115,MIL,158,SS,24,R,0,0.55,0.85,1.12,1.36,1.59,1.81,2.01,2.21,2.4,2.59,2.78,2.96,3.14,3.33,3.51,3.69,3.88,4.08
Arenado, Nolan,571448,COL,115,3B,27,R,0,0.57,0.89,1.17,1.43,1.68,1.91,2.12,2.33,2.54,2.74,2.93,3.13,3.32,3.51,3.7,3.89,4.08,4.29
Astudillo, Willians,553902,MIN,142,C,27,R,0,0.56,0.88,1.16,1.43,1.68,1.91,2.13,2.34,2.55,2.75,2.96,3.16,3.36,3.56,3.77,3.98,4.21,4.45
